Date,Value (P)
4/29/2021 0:00,821906.8
4/30/2021 0:00,815468.11
5/3/2021 0:00,817080.55
5/4/2021 0:00,810035.65
5/5/2021 0:00,808418.49
5/6/2021 0:00,812960.26
5/7/2021 0:00,820066.49
5/10/2021 0:00,809961.52
5/11/2021 0:00,804241.52
5/12/2021 0:00,786141.84
5/13/2021 0:00,795451.25
5/14/2021 0:00,808441.93
5/17/2021 0:00,805320.93
5/18/2021 0:00,799174.96
5/19/2021 0:00,797046.1295
5/20/2021 0:00,806014.33
5/21/2021 0:00,805491.01
5/24/2021 0:00,813065.16
5/25/2021 0:00,810492.76
5/26/2021 0:00,813404.1305
5/27/2021 0:00,814353.8
5/28/2021 0:00,815699.04
5/31/2021 0:00,815699.04
6/1/2021 0:00,815028.51
6/2/2021 0:00,816242.49
6/3/2021 0:00,812219.25
6/4/2021 0:00,819227
6/7/2021 0:00,820881.89
6/8/2021 0:00,821848.78
6/9/2021 0:00,820039.9795
6/10/2021 0:00,823512.7395
6/11/2021 0:00,826254.92
6/14/2021 0:00,827975.73
6/15/2021 0:00,825601.51
6/16/2021 0:00,821710.66
6/17/2021 0:00,821942.44
6/18/2021 0:00,811839.56
6/21/2021 0:00,821826.55
6/22/2021 0:00,826515.14
6/23/2021 0:00,825638.01
6/24/2021 0:00,830455.79
6/25/2021 0:00,834003.15
6/28/2021 0:00,836792.0705
6/29/2021 0:00,836835.11
6/30/2021 0:00,836798.43
7/1/2021 0:00,840747.04
7/2/2021 0:00,845357.09
7/5/2021 0:00,845357.09
7/6/2021 0:00,843328.43
7/7/2021 0:00,844920.39
7/8/2021 0:00,837594
7/9/2021 0:00,847078.84
7/12/2021 0:00,849458.7405
7/13/2021 0:00,845081.36
7/14/2021 0:00,844380.74
7/15/2021 0:00,841732.49
7/16/2021 0:00,835685.38
7/19/2021 0:00,823882.45
7/20/2021 0:00,837104.61
7/21/2021 0:00,844856.11
7/22/2021 0:00,845686.24
7/23/2021 0:00,854906.71
7/26/2021 0:00,856122.61
7/27/2021 0:00,851826.79
7/28/2021 0:00,853014.03
7/29/2021 0:00,856027.27
7/30/2021 0:00,852949.8395
8/2/2021 0:00,850538.18
8/3/2021 0:00,855739.73
8/4/2021 0:00,853219.45
8/5/2021 0:00,859193.8
8/6/2021 0:00,860211.45
8/9/2021 0:00,859213.2095
8/10/2021 0:00,859249.72
8/11/2021 0:00,861315.71
8/12/2021 0:00,864125.01
8/13/2021 0:00,864895.1405
8/16/2021 0:00,866041.26
8/17/2021 0:00,860309.56
8/18/2021 0:00,851714.26
8/19/2021 0:00,851821.53
8/20/2021 0:00,859838.46
8/23/2021 0:00,867622.29
8/24/2021 0:00,869978.85
8/25/2021 0:00,871914.88
8/26/2021 0:00,866315.08
8/27/2021 0:00,876302.08
8/30/2021 0:00,879530.5695
8/31/2021 0:00,878581.91
9/1/2021 0:00,879977.23
9/2/2021 0:00,882873.58
9/3/2021 0:00,882582.26
9/6/2021 0:00,882582.26
9/7/2021 0:00,879250.3695
9/8/2021 0:00,877438
9/9/2021 0:00,874104.7
9/10/2021 0:00,866683.6
9/13/2021 0:00,868073.5795
9/14/2021 0:00,862508.17
9/15/2021 0:00,869480.9
9/16/2021 0:00,868771.33
9/17/2021 0:00,862280.32
9/20/2021 0:00,846925.14
9/21/2021 0:00,846805.11
9/22/2021 0:00,856079.77
9/23/2021 0:00,866302.54
9/24/2021 0:00,866787.86
9/27/2021 0:00,864802.73
9/28/2021 0:00,846364.58
9/29/2021 0:00,844796.47
9/30/2021 0:00,835443.92
10/1/2021 0:00,848113.64
10/4/2021 0:00,836925.11
10/5/2021 0:00,837745.33
10/6/2021 0:00,843848.14
10/7/2021 0:00,852165.49
10/8/2021 0:00,849273.58
10/11/2021 0:00,843061.44
10/12/2021 0:00,841845.5295
10/13/2021 0:00,845075.08
10/14/2021 0:00,858730.3395
10/15/2021 0:00,863558.8105
10/18/2021 0:00,866640.6
10/19/2021 0:00,872647.08
10/20/2021 0:00,876392.44
10/21/2021 0:00,879002.65
10/22/2021 0:00,877239.11
10/25/2021 0:00,881454.69
10/26/2021 0:00,881206.28
10/27/2021 0:00,874331.2005
10/28/2021 0:00,883647.13
10/29/2021 0:00,885113.58
11/1/2021 0:00,889817.1995
11/2/2021 0:00,891730.62
11/3/2021 0:00,898069.14
11/4/2021 0:00,899984.04
11/5/2021 0:00,907398.01
11/8/2021 0:00,909269.33
11/9/2021 0:00,907224.88
11/10/2021 0:00,898660.15
11/11/2021 0:00,899809.4
11/12/2021 0:00,906012.64
11/15/2021 0:00,905908.49
11/16/2021 0:00,909522.47
11/17/2021 0:00,906278.83
11/18/2021 0:00,907013.33
11/19/2021 0:00,904808.73
11/22/2021 0:00,901015.49
11/23/2021 0:00,901315.22
11/24/2021 0:00,903779.7105
11/25/2021 0:00,903779.7105
11/26/2021 0:00,884057.84
11/29/2021 0:00,892746.69
11/30/2021 0:00,877351.16
12/1/2021 0:00,864862.4
12/2/2021 0:00,878401.7295
12/3/2021 0:00,868731.68
12/6/2021 0:00,879722.96
12/7/2021 0:00,898728.06
12/8/2021 0:00,903450.62
12/9/2021 0:00,902019.84
12/10/2021 0:00,908664.38
12/13/2021 0:00,900517.3205
12/14/2021 0:00,893783.64
12/15/2021 0:00,907715.45
12/16/2021 0:00,890411.01
12/17/2021 0:00,884879.76
12/20/2021 0:00,876570.7801
12/21/2021 0:00,894216.2001
12/22/2021 0:00,902971.59
12/23/2021 0:00,909154.6901
12/24/2021 0:00,909154.6901
12/27/2021 0:00,920666.6899
12/28/2021 0:00,918865.67
12/29/2021 0:00,919731.06
12/30/2021 0:00,918021.7699
12/31/2021 0:00,915955.6601
1/3/2022 0:00,921339.1101
1/4/2022 0:00,919730.9194
1/5/2022 0:00,900069.8199
1/6/2022 0:00,899326.3501
1/7/2022 0:00,894864.9706
1/10/2022 0:00,893325.07
1/11/2022 0:00,902398.58
1/12/2022 0:00,902955.0794
1/13/2022 0:00,890159.1205
1/14/2022 0:00,890877.35
1/17/2022 0:00,890877.35
1/18/2022 0:00,873620.9901
1/19/2022 0:00,864712.5205
1/20/2022 0:00,854409.2596
1/21/2022 0:00,838633.2701
1/24/2022 0:00,843550.7594
1/25/2022 0:00,832010.19
1/26/2022 0:00,828378.94
1/27/2022 0:00,822837.15
1/28/2022 0:00,842600.8301
1/31/2022 0:00,861110.67
2/1/2022 0:00,867721.3401
2/2/2022 0:00,871576.5895
2/3/2022 0:00,851464.8394
2/4/2022 0:00,856944.3195
2/7/2022 0:00,854851.8795
2/8/2022 0:00,862562.26
2/9/2022 0:00,876378.49
2/10/2022 0:00,861586.9801
2/11/2022 0:00,845903.8501
2/14/2022 0:00,843058.7601
2/15/2022 0:00,858082.95
2/16/2022 0:00,858542.2805
2/17/2022 0:00,839350.28
2/18/2022 0:00,832702.7395
2/21/2022 0:00,832702.7395
2/22/2022 0:00,823058.5405
2/23/2022 0:00,807911.06
2/24/2022 0:00,821264.2199
2/25/2022 0:00,839817.21
2/28/2022 0:00,839092.94
3/1/2022 0:00,825293.8701
3/2/2022 0:00,840719.08
3/3/2022 0:00,833465.22
3/4/2022 0:00,824725.2201
3/7/2022 0:00,799021.3701
3/8/2022 0:00,794752.07
3/9/2022 0:00,816798.6101
3/10/2022 0:00,813198.0101
3/11/2022 0:00,801842.5
3/14/2022 0:00,795166.3401
3/15/2022 0:00,811787.8201
3/16/2022 0:00,832056.8701
3/17/2022 0:00,842744.75
3/18/2022 0:00,853365.96
3/21/2022 0:00,851050.8701
3/22/2022 0:00,860807.12
3/23/2022 0:00,848939.7699
3/24/2022 0:00,859369.4495
3/25/2022 0:00,862166.54
